MenuIcon,URL
https://raw.githubusercontent.com/indpDB/UC-WebApp-RasiPhalau/master/Mesha.png,http://www.astrosage.com/malayalam/rasi/metam-rasi.asp
https://raw.githubusercontent.com/indpDB/UC-WebApp-RasiPhalau/master/Vrusha.png,http://www.astrosage.com/malayalam/rasi/itavam-rasi.asp
https://raw.githubusercontent.com/indpDB/UC-WebApp-RasiPhalau/master/Mithuna.png,http://www.astrosage.com/malayalam/rasi/mithunam-rasi.asp
https://raw.githubusercontent.com/indpDB/UC-WebApp-RasiPhalau/master/Kataka.png,http://www.astrosage.com/malayalam/rasi/karkkatakam-rasi.asp
https://raw.githubusercontent.com/indpDB/UC-WebApp-RasiPhalau/master/Simha.png,http://www.astrosage.com/malayalam/rasi/cinnam-rasi.asp
https://raw.githubusercontent.com/indpDB/UC-WebApp-RasiPhalau/master/Kanya.png,http://www.astrosage.com/malayalam/rasi/kanni-rasi.asp
https://raw.githubusercontent.com/indpDB/UC-WebApp-RasiPhalau/master/Tula.png,http://www.astrosage.com/malayalam/rasi/tulam-rasi.asp
https://raw.githubusercontent.com/indpDB/UC-WebApp-RasiPhalau/masterVrushchika.png,http://www.astrosage.com/malayalam/rasi/vrscikam-rasi.asp
https://raw.githubusercontent.com/indpDB/UC-WebApp-RasiPhalau/master/Dhanusu.png,http://www.astrosage.com/malayalam/rasi/dhanu-rasi.asp
https://raw.githubusercontent.com/indpDB/UC-WebApp-RasiPhalau/master/Makara.png,http://www.astrosage.com/malayalam/rasi/makaram-rasi.asp
https://raw.githubusercontent.com/indpDB/UC-WebApp-RasiPhalau/master/Kumba.png,http://www.astrosage.com/malayalam/rasi/kumbham-rasi.asp
https://raw.githubusercontent.com/indpDB/UC-WebApp-RasiPhalau/master/Meena.png,http://www.astrosage.com/malayalam/rasi/minam-rasi.asp
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
